gene,ensembl,approvedName,protein_class,logFC,FDR,direction,evidence_rank,pathway_support,in_leading_edge,stat3_target,ot_sm_bucket,ot_sm_bucket_rank,sm_has_ligand,sm_hq_ligand,sm_hq_pocket,sm_mq_pocket,sm_druggable_family,ab_clinical,ot_drug_candidates,chembl_target_id,n_potent_inhib,n_active_inhib
SPRR2D,ENSG00000163216,small proline rich protein 2D,Unclassified,5.364,9.29012940192857e-15,up,77,1,False,False,Unknown,0,False,False,False,False,False,False,0,,0,0
SPRR2E,ENSG00000203785,small proline rich protein 2E,Unclassified,4.239,6.71587258616668e-55,up,58,1,False,False,Unknown,0,False,False,False,False,False,False,0,,0,0
SPRR2F,ENSG00000244094,small proline rich protein 2F,Unclassified,6.69,6.74311748572103e-05,up,56,1,False,False,Unknown,0,False,False,False,False,False,False,0,,0,0
STAT1,ENSG00000115415,signal transducer and activator of transcription 1,Transcription factor,1.862,3.79613668235924e-32,up,142,2,True,True,Discovery precedence,3,False,True,False,False,True,False,0,CHEMBL6101,10,50
STAT3,ENSG00000168610,signal transducer and activator of transcription 3,Transcription factor,1.246,2.19753287372143e-07,up,825,1,True,False,Discovery precedence,3,True,True,False,False,True,False,1,CHEMBL4026,112,430
TCN1,ENSG00000134827,transcobalamin 1,Unclassified,6.612,0.0070958576839052,up,107,0,False,False,Discovery precedence,3,True,False,False,False,False,False,0,,0,0
TEX101,ENSG00000131126,testis expressed 101,Unclassified,4.391,2.6493863291093495e-101,up,46,0,False,False,Unknown,0,False,False,False,False,False,False,0,,0,0
THRSP,ENSG00000151365,thyroid hormone responsive,Unclassified,-4.46,4.69954433993067e-39,down,110,0,False,False,Unknown,0,False,False,False,False,False,False,0,,0,0
TMPRSS11A,ENSG00000187054,transmembrane serine protease 11A,Unclassified,5.886,1.08425157696603e-55,up,54,0,False,False,Unknown,0,False,False,False,False,False,False,0,,0,0
TMPRSS11D,ENSG00000153802,transmembrane serine protease 11D,Enzyme,6.933,3.06269361376121e-13,up,40,1,False,False,Discovery precedence,3,False,True,False,False,True,False,0,CHEMBL1795138,27,49
