"gene","logFC","AveExpr","t","P.Value","adj.P.Val","qvalue","B"
"KRT73",-1.05030637856813,2.0445771171008,-7.70860381900489,8.1388939537471e-13,2.63087494593449e-12,3.50775108218374e-13,17.9808973156818
"RP11-2N1.2",-1.26888378488587,-1.18114614987591,-7.70267401017035,8.42848399079585e-13,2.7212564871165e-12,3.62825698056578e-13,18.4057541324976
"FLJ16779",-1.16441374004712,-0.983134912286817,-7.69826555543196,8.65036254811772e-13,2.79068910404093e-12,3.72083163430668e-13,18.353166993709
"DSCAML1",-1.03717949634902,-0.587819992370587,-7.69503910787745,8.8164039656737e-13,2.84276004298731e-12,3.79025792639318e-13,18.2781974086617
"TAS1R1",-1.12313134439265,-1.87126957498724,-7.69346854812411,8.8983663995376e-13,2.86730335060245e-12,3.82298156990212e-13,18.4348187052501
"CRABP1",-1.02766191698648,1.8908446323132,-7.69048958038073,9.05590582367036e-13,2.91615147752378e-12,3.8881108799576e-13,17.8951820922951
"GBP3",1.19115639254726,3.50069580951189,7.68170784095486,9.5365560371096e-13,3.06569654624147e-12,4.08749963366493e-13,17.6668186802838
"MT4",-2.86068647746043,-0.651676096974748,-7.67586031335495,9.87052083259213e-13,3.16890229033796e-12,4.22510406868433e-13,18.2078901321087
"KCNN1",1.09407686580706,-1.67445682281032,7.67444704041911,9.95295674359246e-13,3.19411386898908e-12,4.25871871936688e-13,18.3169134452267
"TRAPPC3L",-1.02945438092493,-2.15952980407103,-7.672805580929,1.00495580819916e-12,3.22342828083026e-12,4.2978036861451e-13,18.3458976965509
"ADGRE1",1.44901487297223,-2.35834147689372,7.6718020217338,1.01090747724979e-12,3.24124687607618e-12,4.32156125655088e-13,18.3763614808917
"RP11-342M1.7",-1.16674799896388,-2.25393651015618,-7.67121281692956,1.01441802663015e-12,3.25207755289299e-12,4.33600182066195e-13,18.3465101969295
"BAALC-AS2",1.77627120701451,-2.50896395959012,7.66822229964255,1.03242269414318e-12,3.30806843134474e-12,4.41065457631079e-13,18.3732679997853
"COL11A1",-1.35865871491051,1.96532237668405,-7.66768967606777,1.03566240799823e-12,3.31758228331993e-12,4.42333941509923e-13,17.7561411142709
"RP11-38L15.3",-1.02925030777813,-0.690220898679762,-7.66628538258361,1.04425240328868e-12,3.3437888965881e-12,4.4582807475232e-13,18.1263797135367
"LINC01271",1.29811190868926,-2.29704704843935,7.66401932026923,1.05826268091828e-12,3.38644057893848e-12,4.5151483250387e-13,18.3240589494506
"CYP1B1-AS1",-1.11388298165434,1.4678983013166,-7.66331076758506,1.0626814631617e-12,3.40013708954215e-12,4.53340991134724e-13,17.7944806036715
"CELF5",-1.07401314575766,-2.27373184140975,-7.64779958071447,1.16412104875918e-12,3.7159761952063e-12,4.95451885322279e-13,18.2133162133524
"CLCNKA",-1.5389878793045,-2.13917177267215,-7.64572738920599,1.17837863535535e-12,3.75953058896929e-12,5.01259001775764e-13,18.1896437376088
"LINC02018",-1.03277302419942,-2.41003036946377,-7.63750381943595,1.23668361957134e-12,3.9414469621681e-12,5.25513949961012e-13,18.1671842202589
"ENPP6",-1.06667062760277,-1.87153613454646,-7.62378311567603,1.34038108014587e-12,4.2597651119225e-12,5.67955375616958e-13,18.0328192559851
"LDHD",-1.19821580390093,2.14858704666043,-7.62270865651285,1.34885560646494e-12,4.28614202816066e-12,5.71472215390056e-13,17.469946166452
"KRT18P11",-1.20212839300736,-0.489698162074616,-7.62057628205835,1.36583145249613e-12,4.33839858415244e-12,5.78439592958291e-13,17.8342485867011
