statistic,source,condition,score,p_value,padj,rank,axis
ulm,KLF3,PPvsNN,0.739012886000792,0.459906244917827,0.702906873114389,269,FALSE
ulm,SREBF2,PPvsNN,0.730422419873696,0.465138995105593,0.706434994131354,270,FALSE
ulm,ELK4,PPvsNN,0.728799482377426,0.466131287111262,0.706434994131354,271,FALSE
ulm,HOXC8,PPvsNN,0.72579461182437,0.467971616070575,0.707758725131531,272,FALSE
ulm,NR3C1,PPvsNN,0.718851665132914,0.472239168892643,0.712740353875082,273,FALSE
ulm,RFX1,PPvsNN,0.714311844623132,0.475041167710673,0.715494104453113,274,FALSE
ulm,TBPL1,PPvsNN,0.708599997216485,0.478579472792049,0.719221383346099,275,FALSE
ulm,AEBP1,PPvsNN,0.706583303118793,0.479832180445443,0.719221383346099,276,FALSE
ulm,MSC,PPvsNN,0.703989481129366,0.48144600797758,0.719221383346099,277,FALSE
ulm,MTF1,PPvsNN,0.696923229602437,0.485857444763041,0.722861076354769,278,FALSE
ulm,NCOR2,PPvsNN,0.690042815193336,0.490173792081414,0.724275340816261,279,FALSE
