"gene","logFC","AveExpr","t","P.Value","adj.P.Val","qvalue","B"
"MYSM1",-0.0712610749518688,4.35377569699513,-0.921874266592565,0.357821202052607,0.399774002183946,0.0533019515411273,-7.65832267359277
"HSD3B7",-0.0705613821572894,4.66654959746896,-0.921417878393977,0.358058687940378,0.400021111264021,0.0533348986465909,-7.68569894202939
"RPS24P16",0.188437180230335,-0.494569011028736,0.920383961936025,0.358597065853041,0.400604337367616,0.0534126603052818,-6.95008175723097
"CCDC85B",-0.121268034981512,3.47635503763315,-0.919941380219274,0.358827682494678,0.400838965901235,0.0534439433768692,-7.56720326048536
"RP11-384O8.1",-0.124403424015029,-2.12958211516343,-0.919918177246317,0.358839775491655,0.400838965901235,0.0534439433768692,-6.65371441652991
"GRAPL",0.114454463461961,-1.48724022321365,0.919555255482663,0.359028957796537,0.401032026815131,0.0534696842290025,-6.76559041107247
"RP11-341G5.2",-0.112727872767224,-1.22200636934946,-0.919132901548051,0.359249200220142,0.401259762431678,0.0535000482665114,-6.81686242107972
"RPSAP5",0.0572509871826949,1.39352668357453,0.918308629586597,0.359679274979251,0.401721836742,0.0535616567312006,-7.28789372719858
"MMS19",-0.0342497530196041,5.68098840983734,-0.91816267587564,0.359755462219827,0.40178863388252,0.053570562807953,-7.7436064768411
"RPL7AP3",0.177053847545153,-2.2322234580419,0.917905371303673,0.359889799042665,0.401902242053198,0.0535857102091724,-6.63442316292755
"GJA4",-0.0775137291099784,2.70063339136276,-0.917905070420057,0.359889956150377,0.401902242053198,0.0535857102091724,-7.47268657378737
"RP11-103J8.1",-0.102697830217563,-0.280775018881126,-0.917828513304209,0.359929932198569,0.401928585338789,0.0535892225649642,-6.99760900415332
"ITFG2",0.0308023617047371,4.4114614634006,0.917670922441414,0.360012230720496,0.402002184972791,0.0535990356195991,-7.66703205872344
"RP11-65L3.4",-0.116657427381096,-1.49229387511408,-0.917559041067104,0.360070665652035,0.402049132203446,0.0536052951037069,-6.76891821572148
"AC008277.1",-0.0890259914360907,-0.554932983491412,-0.917419441517671,0.360143586030373,0.402112248641342,0.0536137104316066,-6.94453564395083
"TM9SF3",0.0532931316237231,7.50377056597413,0.91731145734281,0.36019999840438,0.402156928438374,0.0536196675983139,-7.75659107366945
"MORF4L1P1",-0.0402640557539331,6.22161840250642,-0.916945942140455,0.360390989930785,0.402351852572704,0.0536456568740184,-7.7567899803874
"RP13-104F24.3",-0.0625658718871922,3.01284667514939,-0.916634672488336,0.360553687217938,0.402515171821109,0.0536674322636553,-7.51346812199385
"DDX18P6",0.13666990516748,-1.66664224143412,0.915914202249393,0.360930447484801,0.40291744110264,0.0537210669113149,-6.73649396258513
"MKNK1-AS1",-0.0618629577820621,0.225579998598062,-0.915606349297359,0.361091510972476,0.403078895969276,0.0537425937225395,-7.09645644983357
"RP5-1160K1.6",0.0539275814598517,1.50334493460776,0.915492626581449,0.361151020280041,0.403126978494077,0.0537490045756538,-7.30715150790562
"CLEC12A",0.138899395006657,-0.208774513064639,0.915146274595417,0.361332299028017,0.403310972949225,0.0537735365949411,-7.01132235180806
"RP1-234P15.4",-0.100466800139063,-1.8530431130587,-0.914350582803726,0.361748977642169,0.403757686731303,0.0538330970371785,-6.70697214192375
"ZNF708",-0.0888084742750131,1.43222889951551,-0.914247039375596,0.361803222379542,0.403799856146216,0.0538387194941115,-7.29864840739234
"ANXA2R",0.0650096127442209,0.527807697904446,0.913660139187674,0.362110787084503,0.404124733169929,0.0538820354158077,-7.15083582331077
"AC117947.1",-0.112249382854665,-2.12287280656713,-0.912920689402214,0.362498530390082,0.404539057891985,0.0539372774178805,-6.66115158302617
"ACTG1P2",-0.207156457320553,2.37180992814632,-0.912478822671519,0.362730355962745,0.404779352641229,0.0539693159671855,-7.43486153690021
"SNX18P7",-0.172445581952664,-2.11638367762531,-0.912345030969991,0.362800568293812,0.40483928570632,0.0539773068553216,-6.66325112598221
