pathway,collection,gsea_nes,gsea_padj,gsea_size,ora_padj,ora_fold,ora_k,ora_setsize,gsea_sig,ora_sig
GOBP_MOTILE_CILIUM_ASSEMBLY,GO:BP,-0.976925763068667,0.596145521413571,69,1,0.545713494481149,6,69,FALSE,FALSE
GOBP_MOTOR_BEHAVIOR,GO:BP,-1.48176010294657,0.145791618376914,28,1,0.896529312361887,4,28,FALSE,FALSE
GOBP_MOTOR_NEURON_APOPTOTIC_PROCESS,GO:BP,0.991118566285633,0.580160111544688,13,1,0.482746552810247,1,13,FALSE,FALSE
GOBP_MOTOR_NEURON_AXON_GUIDANCE,GO:BP,-1.21210028513945,0.320935339267122,21,1,0.597686208241258,2,21,FALSE,FALSE
GOBP_MRNA_3_END_PROCESSING,GO:BP,1.67559435620761,0.0321406084809129,43,1,0.291893264489917,2,43,TRUE,FALSE
GOBP_MRNA_CATABOLIC_PROCESS,GO:BP,1.81286085634607,3.47463980831622e-05,263,1,0.238619969069704,10,263,TRUE,FALSE
GOBP_MRNA_CIS_SPLICING_VIA_SPLICEOSOME,GO:BP,0.947677185724577,0.645392004240786,31,1,0.202442102791394,1,31,FALSE,FALSE
GOBP_MRNA_EXPORT_FROM_NUCLEUS,GO:BP,1.86051691268713,0.00232490683359272,70,1,0.179305862472378,2,70,TRUE,FALSE
GOBP_MRNA_METHYLGUANOSINE_CAP_DECAPPING,GO:BP,1.48728428631756,0.120039188472058,25,1,0.251028207461328,1,25,FALSE,FALSE
GOBP_MRNA_MODIFICATION,GO:BP,1.9291885069449,0.00670029281223587,26,1,0.241373276405124,1,26,TRUE,FALSE
GOBP_MRNA_PROCESSING,GO:BP,1.82858232082708,4.22211051306465e-08,465,1,0.202442102791394,15,465,TRUE,FALSE
GOBP_MRNA_PSEUDOURIDINE_SYNTHESIS,GO:BP,1.7268009706825,0.0472619176407337,10,,,,,TRUE,FALSE
GOBP_MRNA_SPLICE_SITE_RECOGNITION,GO:BP,0.682418233187049,0.948605072189949,31,1,0.202442102791394,1,31,FALSE,FALSE
