gene,k,logFC,SE,z,P,FDR,I2,tau2,Q,direction
RP5-1142J19.1,2,2.51,0.166,15.16,6.44015243257091e-52,7.07781822976772e-50,0,0,0.36,up
PLA2G4B,3,1.997,0.132,15.16,6.81363721588065e-52,7.45329128909113e-50,52.5,0.0244,4.21,up
MCM2,3,0.781,0.052,15.15,8.11598753526226e-52,8.83661173083508e-50,0,0,1.75,up
RP11-706C16.8,3,1.126,0.074,15.13,1.03472512185217e-51,1.12138335080729e-49,0,0,0.74,up
IFIT1,3,1.921,0.127,15.12,1.13889130766623e-51,1.22858555857875e-49,0,0,1.25,up
BATF2,2,2.973,0.197,15.09,2.01536996544117e-51,2.1641190605969e-49,5.5,0.0112,1.06,up
MYOC,2,-2.571,0.171,-15.08,2.27965719643536e-51,2.43673494572399e-49,0,0,0.23,down
TMEM45B,3,2.149,0.143,15.07,2.42497522284953e-51,2.5802838632584e-49,67.6,0.0332,6.16,up
IFIT5,3,0.97,0.065,15.01,6.08186699227116e-51,6.4421006525826e-49,0,0,1.12,up
C5orf46,3,-3.329,0.222,-14.99,8.52176003349653e-51,8.98585047856398e-49,51.6,0.0712,4.13,down
RP11-328D5.4,2,-1.354,0.09,-14.99,8.64426556253204e-51,9.07415302929653e-49,0,0,0.21,down
CRIM1,3,-0.54,0.036,-14.99,8.75874373321424e-51,9.15327821655411e-49,0,0,0.14,down
OAS1,3,2.471,0.165,14.98,9.91282977500214e-51,1.03133080979122e-48,36.5,0.0311,3.15,up
RP11-218M22.1,3,-0.885,0.059,-14.95,1.50718488590929e-50,1.5611367696571e-48,0,0,1.15,down
FOXE1,3,3.246,0.217,14.95,1.66555649369915e-50,1.71757761942746e-48,46.1,0.0647,3.71,up
CCNI2,3,-0.737,0.049,-14.93,2.0250884692303e-50,2.07503654096948e-48,0,0,1.33,down
LAG3,2,1.684,0.113,14.93,2.02991741587428e-50,2.07503654096948e-48,0,0,0.18,up
