gene,k,logFC,SE,z,P,FDR,I2,tau2,Q,direction
IL2RG,2,1.076,0.073,14.69,7.24385832137326e-49,6.8375596550414e-47,0,0,0.53,up
CXCL16,3,0.717,0.049,14.67,9.97281033632063e-49,9.37564325955541e-47,5.4,5e-04,2.12,up
TNFRSF9,2,2.878,0.196,14.67,1.06382577953531e-48,9.96123906925684e-47,31.1,0.034,1.45,up
ALDH2,3,0.61,0.042,14.63,1.76776844271977e-48,1.64867296715646e-46,0,0,1.23,up
DIO2-AS1,2,1.93,0.132,14.58,3.80054636126793e-48,3.53043610202067e-46,0,0,0.11,up
EPB42,3,-1.032,0.071,-14.56,5.2161613796372e-48,4.82606314071146e-46,14.6,0.0035,2.34,down
CATSPERG,2,-1.267,0.087,-14.56,5.23653311863262e-48,4.82606314071146e-46,19,0.0041,1.23,down
ADH1C,2,-1.915,0.132,-14.56,5.30203726370877e-48,4.86727020808465e-46,0,0,0.11,down
C15orf48,2,1.333,0.092,14.53,7.68674697062886e-48,7.02886952482231e-46,0,0,0.02,up
PTPRC,2,0.93,0.064,14.53,7.7628093225721e-48,7.0708016899646e-46,0,0,0,up
TMEM30B,3,0.644,0.044,14.53,8.26590501992404e-48,7.49986707796131e-46,0,0,1.97,up
RND2,3,-1.017,0.07,-14.51,1.00562726348575e-47,9.08908440576751e-46,0,0,1.62,down
NR4A3,3,2.064,0.142,14.51,1.01237398939815e-47,9.11487027608514e-46,25.8,0.0179,2.7,up
IFI35,3,0.834,0.057,14.5,1.17924449931601e-47,1.05766032507618e-45,0,0,1.33,up
RP11-73G16.2,2,-2.094,0.144,-14.49,1.31007755917756e-47,1.17051929705296e-45,0,0,0.36,down
KIAA0513,3,0.614,0.042,14.49,1.38620251255922e-47,1.23382565081745e-45,0,0,1.01,up
KCTD11,3,0.833,0.057,14.49,1.44306665268185e-47,1.27957376032687e-45,9.1,0.0011,2.2,up
MX2,3,1.528,0.106,14.47,1.95345220708428e-47,1.72559859304287e-45,0,0,0.4,up
MIR6510,2,-1.666,0.115,-14.46,2.04164051167765e-47,1.79672040367902e-45,0,0,0.99,down
LOXL4,2,-1.685,0.117,-14.46,2.21494576809436e-47,1.9419350369034e-45,26.9,0.0094,1.37,down
LMO7,3,0.787,0.054,14.45,2.41034018847174e-47,2.10536020417668e-45,6.6,9e-04,2.14,up
RP11-47I22.4,3,0.634,0.044,14.45,2.46187652152758e-47,2.14238169116874e-45,0,0,0.82,up
CDH20,2,-2.725,0.189,-14.44,2.97707422342654e-47,2.58112335171081e-45,46,0.0358,1.85,down
PSAPL1,3,-1.925,0.133,-14.44,2.98951031247972e-47,2.58234121420066e-45,17.1,0.0106,2.41,down
P2RY10,2,1.271,0.089,14.33,1.46323580965182e-46,1.25929731868159e-44,0,0,0.91,up
EPB41L4B,3,-1.048,0.073,-14.31,1.77384311761249e-46,1.52102174139893e-44,47.7,0.0073,3.82,down
COL28A1,2,-1.278,0.089,-14.31,1.83386322255327e-46,1.56674832761859e-44,0,0,0.41,down
NLRC5,3,0.792,0.055,14.31,1.90760769538766e-46,1.62382503786654e-44,0,0,1.9,up
SPNS2,3,0.888,0.062,14.28,2.84321362495171e-46,2.41147781690198e-44,0,0,1.66,up
CH17-140K24.7,2,-1.431,0.1,-14.27,3.16720815682914e-46,2.67657674163225e-44,0,0,0.08,down
ENSA,3,0.395,0.028,14.27,3.29474965745571e-46,2.77434513422233e-44,0,0,0.45,up
PCDHB4,2,-1.022,0.072,-14.26,3.8362213281595e-46,3.21871344340092e-44,0,0,0.07,down
KLK13,3,3.65,0.256,14.26,3.87904785916207e-46,3.24302254768304e-44,65.3,0.1059,5.77,up
CSMD1,2,-2.353,0.165,-14.24,5.35458085047779e-46,4.46068979106173e-44,0,0,0,down
IL12RB1,2,1.837,0.129,14.24,5.47081488247842e-46,4.54135835404034e-44,46.1,0.0164,1.86,up
ADAM8,3,1.01,0.071,14.23,6.37498555681315e-46,5.27321685157028e-44,0,0,1.87,up
CPLX3,2,3.663,0.258,14.22,7.03913162272368e-46,5.80207859705418e-44,20.6,0.0418,1.26,up
KCNG3,2,1.728,0.122,14.21,8.17549963998949e-46,6.71509723061453e-44,0,0,0.3,up
VWA5A,3,-0.676,0.048,-14.15,1.82231027073502e-45,1.49155458488238e-43,22.9,0.0019,2.59,down
JMJD7-PLA2G4B,3,1.504,0.107,14.1,3.75609373849781e-45,3.06363757228207e-43,50.5,0.0155,4.04,up
CCDC85A,2,-0.928,0.066,-14.08,4.86510498746518e-45,3.95441814762404e-43,0,0,0.07,down
MPIG6B,2,-0.756,0.054,-14.08,4.97544507220351e-45,4.03011050848484e-43,0,0,0.66,down
F3,3,-2.35,0.167,-14.08,5.11616706362999e-45,4.12980533767291e-43,56.9,0.0422,4.64,down
CHST1,3,1.661,0.118,14.06,6.62944290757489e-45,5.33294257812442e-43,0,0,1.7,up
BCL7A,3,-0.421,0.03,-14.05,7.37913383332659e-45,5.91568985973775e-43,0,0,0.73,down
RALGPS1,3,-0.595,0.042,-14.05,8.12857666679681e-45,6.49426113286849e-43,0,0,1.91,down
RSPH1,2,-1.119,0.08,-14.04,9.22609125342261e-45,7.346039801067e-43,0,0,0.66,down
XKR4,2,-1.427,0.102,-14.03,9.68004557476864e-45,7.68136226643251e-43,0,0,0.03,down
CCR4,2,1.536,0.11,14.01,1.38461599466689e-44,1.09501607497152e-42,0,0,0.09,up
RNF222,3,1.99,0.142,14.01,1.40207865947581e-44,1.10509290705957e-42,56.4,0.0294,4.58,up
ACPP,3,1.183,0.085,13.99,1.91776253125802e-44,1.50647325819527e-42,40.8,0.0084,3.38,up
BIN2,2,0.808,0.058,13.97,2.38694872862844e-44,1.86876531065094e-42,0,0,0.44,up
IL20RB,3,-0.733,0.053,-13.92,4.83632296356146e-44,3.773782808467e-42,6.6,7e-04,2.14,down
NUDT11,3,-1.175,0.085,-13.88,8.45310002232297e-44,6.57404047915477e-42,0,0,1.05,down
SEC14L6,2,-4.161,0.3,-13.88,8.62514109774365e-44,6.68562675354573e-42,0,0,0,down
GOLGA7B,3,0.707,0.051,13.88,8.94644978406778e-44,6.91179679852286e-42,4.9,5e-04,2.1,up
RSPH14,2,-1.25,0.09,-13.86,1.11734433765607e-43,8.6039189474312e-42,2.8,9e-04,1.03,down
CASC1,2,-1.499,0.108,-13.83,1.6033450704023e-43,1.23058048370647e-41,0,0,0.02,down
EGR2,3,-1.108,0.08,-13.83,1.78555926222623e-43,1.36595283560306e-41,0,0,1.82,down
SGSM1,2,-1.558,0.113,-13.82,2.05476404034698e-43,1.56677431337076e-41,36,0.0119,1.56,down
SCNN1D,3,2.412,0.175,13.78,3.18473690902283e-43,2.42050345140634e-41,28.9,0.0283,2.81,up
RP11-90L1.8,3,0.966,0.07,13.78,3.49789800289193e-43,2.64991243850153e-41,29.4,0.0047,2.83,up
DSG2-AS1,3,-1.155,0.084,-13.77,3.76379340050694e-43,2.8421496681441e-41,0,0,0.44,down
TSTA3,3,0.914,0.067,13.74,5.86951394456612e-43,4.41798880798548e-41,31,0.0042,2.9,up
FAM131A,3,-0.587,0.043,-13.72,8.09558790247039e-43,6.07402619259389e-41,0,0,0.36,down
PCDHB2,3,-1.018,0.074,-13.7,9.77084961538516e-43,7.30753414206234e-41,0.6,4e-04,2.01,down
GPAT3,3,0.843,0.062,13.67,1.58395935263328e-42,1.18085683075772e-40,0,0,0.09,up
C1orf167,3,0.672,0.049,13.67,1.62346989840968e-42,1.20647005878959e-40,0,0,0.87,up
GFOD2,3,1.035,0.076,13.65,1.90055570683817e-42,1.40791482725869e-40,59.4,0.0088,4.93,up
SLC15A1,3,0.951,0.07,13.65,1.91190659421925e-42,1.41185556669017e-40,0,0,0.54,up
MFSD11,3,0.41,0.03,13.65,2.11955013218e-42,1.56026883786797e-40,0,0,1.59,up
FCGBP,2,-1.43,0.105,-13.64,2.37836673027796e-42,1.74530366109959e-40,15.9,0.0037,1.19,down
TNFAIP8L3,3,-0.572,0.042,-13.63,2.65815946254635e-42,1.94452671433586e-40,0,0,1.21,down
RP11-706C16.7,2,1.76,0.129,13.62,3.06154419309458e-42,2.23263825595486e-40,0,0,0.79,up
CARMIL3,3,1.071,0.079,13.61,3.61289416976615e-42,2.62652918074707e-40,0,0,0.26,up
SH3BP4,3,-0.587,0.043,-13.6,3.93177599875894e-42,2.84950292120582e-40,25.2,0.0015,2.67,down
AQP3,3,0.911,0.067,13.59,4.85781807726725e-42,3.50977356082559e-40,0,0,0.73,up
IL20RB-AS1,3,-0.693,0.051,-13.58,5.16644700964476e-42,3.7212725553469e-40,0,0,0.94,down
HLA-F-AS1,3,-0.69,0.051,-13.56,6.72394481241689e-42,4.82824613846218e-40,0,0,0.63,down
MYOCD,2,-1.644,0.121,-13.55,7.57079758152638e-42,5.41971867235325e-40,0,0,0.96,down
PACRG,2,-1.585,0.117,-13.55,8.14293729241519e-42,5.81152497189473e-40,15.9,0.0058,1.19,down
CHL1-AS1,2,-1.492,0.11,-13.54,8.75724794636159e-42,6.23095492937321e-40,0,0,0.08,down
RP11-680F20.9,2,-3.412,0.252,-13.52,1.1850415708335e-41,8.40625397928527e-40,40.3,0.0554,1.68,down
RN7SL138P,2,1.507,0.111,13.52,1.1903308985814e-41,8.41826465404595e-40,0,0,0.43,up
TUBBP5,3,2.328,0.172,13.52,1.26816546460393e-41,8.94171245810643e-40,0,0,0.6,up
UGT2A1,2,-3.378,0.25,-13.51,1.27829285910744e-41,8.9860533149688e-40,0,0,0.22,down
DMGDH,2,-1.05,0.078,-13.51,1.28459323976869e-41,9.00330633225903e-40,0,0,0.1,down
NAPA-AS1,3,0.55,0.041,13.51,1.37820655993774e-41,9.63057831689034e-40,0,0,1.83,up
C10orf99,3,5.233,0.388,13.5,1.5468039602118e-41,1.07765279477971e-39,80.6,0.2758,10.3,up
CTB-191K22.5,3,-1.994,0.148,-13.49,1.89335988077172e-41,1.3151828323141e-39,50.7,0.0304,4.06,down
RP3-439F8.1,2,-1.098,0.081,-13.48,1.98785543328121e-41,1.37673691827455e-39,0,0,0.85,down
TMPRSS13,3,0.648,0.048,13.48,2.04961639427212e-41,1.41532360393853e-39,0,0,1.46,up
ALDH3B2,3,0.907,0.067,13.48,2.06541479986488e-41,1.42203808970697e-39,5.2,9e-04,2.11,up
FUT7,2,1.671,0.124,13.48,2.13898253300949e-41,1.46837073651669e-39,0,0,0.74,up
GCNT2,3,-0.662,0.049,-13.47,2.44759350653915e-41,1.67531334487061e-39,0,0,1.78,down
PPP1R36,3,-0.939,0.07,-13.45,3.07693267070963e-41,2.09993926789043e-39,0,0,1.08,down
MEOX2,2,-0.896,0.067,-13.44,3.39599727676371e-41,2.31095640266749e-39,0,0,0.06,down
RP11-542C16.1,3,0.956,0.071,13.43,4.11185365254756e-41,2.7899820913764e-39,21.8,0.0039,2.56,up
PPFIBP2,3,0.393,0.029,13.42,4.35566697711288e-41,2.94687307130739e-39,0,0,1.37,up
CA6,2,-1.958,0.146,-13.41,5.31569824245959e-41,3.58602824662065e-39,0,0,0.04,down
THRSP,2,-4.46,0.333,-13.39,6.98637887263818e-41,4.69954433993067e-39,0,0,0.54,down
CLEC2A,2,-1.68,0.126,-13.35,1.16482853811891e-40,7.81302901112479e-39,46.2,0.015,1.86,down
CHRM4,2,-4.58,0.343,-13.35,1.16834936000986e-40,7.81425433384877e-39,66.5,0.1617,2.99,down
MIR147B,2,1.28,0.096,13.35,1.17897959100533e-40,7.86288696462783e-39,0,0,0.02,up
UGT2A2,2,-3.51,0.263,-13.34,1.32078105129495e-40,8.78356921300096e-39,0,0,0.01,down
FABP5P1,3,3.464,0.26,13.34,1.3317098760398e-40,8.83116047824806e-39,82.6,0.1277,11.51,up
PDZK1IP1,3,2.187,0.164,13.34,1.43782497688479e-40,9.50792228358648e-39,71.6,0.0452,7.05,up
BICDL2,3,1.05,0.079,13.33,1.46482738598256e-40,9.6591955713988e-39,29.7,0.0057,2.84,up
POLD3,3,0.381,0.029,13.32,1.70939100360237e-40,1.12402061807101e-38,0,0,1.77,up
PDCD4,3,-0.769,0.058,-13.32,1.85445545793375e-40,1.21599293598799e-38,25.5,0.0028,2.69,down
FGD5,2,-0.808,0.061,-13.32,1.88917539198466e-40,1.23529907125612e-38,0,0,0.07,down
EPHA4,3,0.494,0.037,13.29,2.67651987564667e-40,1.74525497963824e-38,0,0,0.52,up
RP11-327F22.6,2,1.757,0.132,13.28,2.92786587456184e-40,1.90384478493384e-38,17.7,0.0062,1.22,up
CH17-140K24.5,2,-1.232,0.093,-13.27,3.64755604175841e-40,2.36356916688984e-38,0,0,0.14,down
REN,2,3.423,0.258,13.27,3.65505591188911e-40,2.36356916688984e-38,0,0,0.76,up
KRT37,2,2.243,0.169,13.25,4.63981678220767e-40,2.99210664062532e-38,0,0,0.16,up
SH2D1A,2,1.53,0.116,13.24,5.36865664838762e-40,3.45260668906884e-38,0,0,0.24,up
MCM6,3,0.736,0.056,13.23,6.286924656369e-40,4.0320717611217e-38,28.7,0.003,2.8,up
PCP4L1,2,1.975,0.149,13.22,6.33987694385915e-40,4.05492293384696e-38,41.6,0.0196,1.71,up
STS,3,0.935,0.071,13.22,6.74439235495606e-40,4.30189320537238e-38,0,0,0.63,up
FNDC5,2,-1.747,0.132,-13.21,7.66546347480282e-40,4.87610963265378e-38,0,0,0.28,down
ADH1B,2,-1.94,0.147,-13.2,8.62394878624507e-40,5.47094897390815e-38,10.7,0.0071,1.12,down
SLC39A2,3,0.758,0.057,13.19,9.51168967917153e-40,6.0178146945872e-38,0,0,1.83,up
SEZ6L,2,-2.022,0.153,-13.19,9.6357973284237e-40,6.07990241674044e-38,0,0,0,down
POLA2,3,0.559,0.042,13.19,9.86570877097299e-40,6.20823593063728e-38,8.6,7e-04,2.19,up
SERPINB11,3,6.244,0.474,13.18,1.14383488248775e-39,7.17856052658332e-38,80,0.4175,10.02,up
NOS2,2,5.196,0.395,13.17,1.28422467445642e-39,8.03807898512038e-38,0,0,0.55,up
SERPINB3,3,6.342,0.482,13.17,1.33435945740933e-39,8.32960547693203e-38,82.7,0.4389,11.53,up
TLE3,3,0.987,0.075,13.16,1.51645284420976e-39,9.44112889098571e-38,45.4,0.0071,3.66,up
CARD6,3,1.993,0.151,13.16,1.52496576703612e-39,9.46894526274498e-38,39.1,0.0285,3.28,up
UPK3B,3,-1.774,0.135,-13.14,1.95266631053845e-39,1.20925835088345e-37,0,0,1.33,down
GBP1,3,2.062,0.157,13.12,2.40671881097784e-39,1.48651400121847e-37,58.1,0.0382,4.77,up
KCNMA1-AS1,2,-1.101,0.084,-13.11,3.03975314674131e-39,1.87256793189651e-37,0,0,0.38,down
TG,2,-2.168,0.165,-13.1,3.11179977660874e-39,1.91191918558094e-37,48.3,0.0295,1.94,down
LINC01018,2,-2.358,0.18,-13.07,4.74080844420502e-39,2.90517237880616e-37,0,0,0.29,down
CENPP,3,0.384,0.029,13.07,5.0920407523717e-39,3.11226062590781e-37,0,0,1.85,up
BEND5,2,-0.849,0.065,-13.06,5.39688279386722e-39,3.28999034691765e-37,0,0,0.32,down
VN1R1,2,-1.506,0.115,-13.05,5.97968606382496e-39,3.63580444332671e-37,0,0,0.77,down
SDCBP2,3,1.061,0.081,13.05,6.63475522991608e-39,4.02365246572812e-37,40.5,0.0077,3.36,up
IGFBP3,3,0.972,0.075,13.04,7.06327178230296e-39,4.27245811762093e-37,0,0,1.05,up
PLEKHG5,3,-0.798,0.061,-13.04,7.41903477850873e-39,4.47608724562141e-37,0,0,1.8,down
PDZRN4,2,-2.2,0.169,-13.03,8.71849371626336e-39,5.24656091012877e-37,0,0,0.04,down
RP11-455F5.6,3,2.404,0.185,13.02,1.0031220126438e-38,6.02104697281504e-37,63.4,0.054,5.47,up
SPRYD4,3,0.398,0.031,13.01,1.04874581121042e-38,6.2787955740728e-37,0,0,0.61,up
SMAP2,3,0.582,0.045,13.01,1.09921786145602e-38,6.56418135684286e-37,22.1,0.0015,2.57,up
CKMT2,2,-1.165,0.09,-13,1.18600256933678e-38,7.06441072407243e-37,0,0,0.63,down
RP11-298A10.1,3,1.04,0.08,12.98,1.50848921590994e-38,8.96249341503446e-37,0,0,0.89,up
MYO3A,2,-3.022,0.233,-12.96,1.96124247417469e-38,1.16229683741659e-36,22.9,0.0366,1.3,down
NUDT10,3,-1.327,0.102,-12.96,2.12533961341797e-38,1.25636553056821e-36,0,0,1.01,down
SERPINA5,2,-1.593,0.123,-12.96,2.13665998107072e-38,1.25987590672253e-36,0,0,0.14,down
ST8SIA4,3,0.88,0.068,12.94,2.64956803395862e-38,1.55838537957129e-36,0,0,1.15,up
GPRIN3,3,0.753,0.058,12.93,2.90916296225981e-38,1.70678184921153e-36,0,0,1.14,up
PI15,2,1.675,0.13,12.93,3.21407110095453e-38,1.88095476005612e-36,0,0,0.01,up
SLCO5A1,3,1.705,0.132,12.9,4.5252217206603e-38,2.64166870969918e-36,0,0,1.4,up
FAM153C,2,-2.071,0.161,-12.9,4.57399622722357e-38,2.66349944485265e-36,0,0,0.57,down
FRK,3,0.688,0.053,12.9,4.64721198857286e-38,2.69941899356085e-36,0,0,0.27,up
ID2-AS1,2,-1.077,0.084,-12.88,5.86493740134029e-38,3.39832474326671e-36,0,0,0,down
BCL6,3,-0.462,0.036,-12.87,6.69909538178851e-38,3.87207713067376e-36,0,0,0.4,down
PCED1B-AS1,2,1,0.078,12.87,7.07605069005909e-38,4.07988351240378e-36,0,0,0.1,up
PRSS53,3,3.035,0.236,12.86,7.97462516208502e-38,4.58668305698399e-36,45.6,0.075,3.68,up
SLC27A2,2,-1.907,0.149,-12.84,1.02364700524699e-37,5.87317469260458e-36,0,0,0.93,down
NSD2,3,0.498,0.039,12.83,1.0537419733265e-37,6.03106255589243e-36,28,0.0014,2.78,up
ZBED6CL,3,0.801,0.062,12.81,1.42186783639839e-37,8.11817175176825e-36,0,0,0.22,up
CAT,3,-0.85,0.066,-12.8,1.6165159446532e-37,9.20706125264883e-36,27.1,0.0045,2.74,down
AKR1B10P1,2,6.093,0.476,12.8,1.64150194267501e-37,9.32667936312606e-36,66.4,0.3172,2.98,up
BCAS1,2,-1.481,0.116,-12.78,2.15304538257372e-37,1.2203544639387e-35,2.8,0.0013,1.03,down
PNPLA3,3,-0.755,0.059,-12.76,2.77546924916794e-37,1.56934685154039e-35,0,0,1.38,down
SLC20A1,3,0.67,0.053,12.74,3.34264075845452e-37,1.88549102444968e-35,10.4,0.0011,2.23,up
GPT2,3,0.872,0.068,12.74,3.6037030854134e-37,2.02786263284717e-35,29.1,0.0043,2.82,up
KRT80,3,0.711,0.056,12.71,5.28019589507017e-37,2.96412723519659e-35,0,0,1.27,up
DNAJC27-AS1,2,-1.36,0.107,-12.7,5.70026284286665e-37,3.1922835619298e-35,22.6,0.0057,1.29,down
NALCN,2,-1.291,0.102,-12.7,5.72445532425035e-37,3.19818078008059e-35,0,0,0.07,down
PCDHAC1,3,-1.111,0.088,-12.7,6.1150992773249e-37,3.40829426149759e-35,0,0,1.93,down
AC025335.1,3,-0.732,0.058,-12.66,9.40337147481727e-37,5.22858724118759e-35,0,0,1.8,down
RP11-327F22.1,3,1.498,0.118,12.66,1.03572505373289e-36,5.74532885849129e-35,69.3,0.0234,6.52,up
IL31RA,3,-1.478,0.117,-12.65,1.05705527246127e-36,5.84978885887609e-35,0,0,0.97,down
KB-1991G8.1,2,-1.841,0.146,-12.65,1.09703776752455e-36,6.05673516509013e-35,0,0,0.12,down
EHF,3,2.171,0.172,12.65,1.14666583309329e-36,6.31583540867784e-35,75.5,0.0529,8.16,up
GDF7,2,-1.36,0.108,-12.64,1.27835557114043e-36,7.0246538884569e-35,59,0.0139,2.44,down
PEX5L,2,-2.016,0.16,-12.64,1.35046912494028e-36,7.40354373436229e-35,0,0,0.66,down
COX7A1,3,-1.057,0.084,-12.62,1.60057432405024e-36,8.75416924104953e-35,0,0,1.44,down
PITPNA,3,0.304,0.024,12.62,1.61213504439966e-36,8.79684598003536e-35,0,0,0.47,up
SLCO4A1,3,0.762,0.06,12.61,1.78484869095592e-36,9.71663325734585e-35,0,0,1.11,up
GNLY,2,1.749,0.139,12.61,1.91981416124378e-36,1.04271298609178e-34,0,0,0.07,up
LINC01127,3,1.374,0.109,12.6,2.23599967920027e-36,1.21163232616665e-34,0,0,2,up
USP30,3,-0.515,0.041,-12.59,2.41969228320111e-36,1.30814264797817e-34,23.7,0.0014,2.62,down
HPSE2,2,-1.229,0.098,-12.59,2.49749580271676e-36,1.34709399183863e-34,0,0,0.76,down
HMCN2,2,-1.487,0.118,-12.59,2.52241707940891e-36,1.35740830831915e-34,0,0,0.34,down
DHX58,3,0.75,0.06,12.58,2.71088091205065e-36,1.45548190986682e-34,0,0,0.34,up
SORBS1,3,-1.572,0.125,-12.57,3.0420508637491e-36,1.62955077046917e-34,47.7,0.0206,3.82,down
DACH1,2,-1.392,0.111,-12.55,3.87803799757263e-36,2.07262537637392e-34,0,0,0.58,down
FABP7,2,-2.624,0.209,-12.55,4.09294885077653e-36,2.18250204209175e-34,0,0,0.43,down
PTPRQ,2,-2.711,0.216,-12.54,4.61612715584092e-36,2.45588455888818e-34,0,0,0.05,down
PTCHD1,2,-2.241,0.179,-12.54,4.70198270967935e-36,2.49588918936245e-34,0,0,0.14,down
SIM2,2,-1.778,0.142,-12.53,4.88568331871424e-36,2.58753304994981e-34,0,0,0.25,down
NT5DC3,3,-0.596,0.048,-12.53,5.1734561109108e-36,2.73375697743366e-34,0,0,0.96,down
CCDC114,2,-1.729,0.138,-12.52,6.04549003886261e-36,3.18736207927331e-34,17.1,0.0097,1.21,down
RP11-211G3.3,3,-0.597,0.048,-12.51,6.64598603430197e-36,3.49608735004438e-34,0,0,0.91,down
FABP5P2,3,3.305,0.265,12.49,8.14449018910451e-36,4.27476167795398e-34,81.9,0.1322,11.02,up
PLN,2,-1.433,0.115,-12.47,1.11872586263823e-35,5.85866973568193e-34,0,0,0.08,down
IGSF11,3,-0.85,0.068,-12.46,1.16237152842731e-35,6.07365069396314e-34,0,0,1.36,down
ETV5,3,-0.544,0.044,-12.45,1.39865182295681e-35,7.29199120792786e-34,0,0,1.99,down
ADAR,3,0.558,0.045,12.45,1.435306390942e-35,7.46646384568029e-34,36.3,0.0022,3.14,up
CD34,2,-1.356,0.109,-12.44,1.59804515906891e-35,8.29459847641778e-34,44.2,0.0122,1.79,down
NEU3,3,-0.433,0.035,-12.43,1.69627582236094e-35,8.78498246142641e-34,0,0,0.83,down
MCM4,3,0.649,0.052,12.43,1.71460820895568e-35,8.86032308243787e-34,34.9,0.0029,3.07,up
RP11-44F14.8,3,1.692,0.136,12.43,1.74078876009884e-35,8.97579825664178e-34,0,0,1.51,up
BATF,2,1.112,0.09,12.41,2.30590806439022e-35,1.18635168965518e-33,0,0,0.52,up
RFC3,3,0.505,0.041,12.41,2.32504601587242e-35,1.1935746093324e-33,0,0,1.31,up
RP11-20B24.4,3,0.898,0.072,12.4,2.54253430849993e-35,1.30236730038676e-33,36.8,0.0061,3.16,up
ATG2A,3,0.644,0.052,12.39,2.89317093422528e-35,1.47873882967859e-33,2.5,3e-04,2.05,up
TRAC,2,0.891,0.072,12.39,2.90963948808073e-35,1.48391613892117e-33,0,0,0.67,up
AC005281.2,2,-2.616,0.211,-12.39,3.05656875093409e-35,1.55546125849165e-33,41.3,0.0396,1.7,down
FALEC,2,-1.804,0.146,-12.38,3.23134210639889e-35,1.64083486699982e-33,6.1,0.003,1.06,down
CD28,2,1.76,0.142,12.38,3.41266256463478e-35,1.7291562332367e-33,39.6,0.0184,1.66,up
RP11-386B13.4,2,-1.218,0.098,-12.38,3.490050765208e-35,1.76454856075063e-33,0,0,0.19,down
WDR76,3,0.499,0.04,12.34,5.22456541845241e-35,2.63581577328777e-33,0,0,1.31,up
EFHC2,3,-0.709,0.057,-12.34,5.36735361125671e-35,2.70202969217007e-33,0,0,0.79,down
IYD,2,-2.992,0.243,-12.33,6.10255378804744e-35,3.0655511078198e-33,0,0,0.7,down
PRF1,2,0.988,0.08,12.33,6.63478168439818e-35,3.32577311456268e-33,0,0,0.73,up
ALCAM,3,-1.103,0.089,-12.32,6.73246592697224e-35,3.36752766847208e-33,37.1,0.0091,3.18,down
RP11-350F16.1,2,-4.519,0.367,-12.32,6.88369565271754e-35,3.43583009668369e-33,0,0,0,down
SOX2-OT,2,-1.445,0.117,-12.31,7.603314642688e-35,3.78693601001454e-33,0,0,0.72,down
UBASH3A,2,1.451,0.118,12.31,7.95061252492402e-35,3.95150506573135e-33,0,0,0.35,up
PCDHB12,2,-0.993,0.081,-12.31,8.01112393986261e-35,3.9731440743272e-33,0,0,0.03,down
QPRT,3,-0.752,0.061,-12.3,9.57901257330818e-35,4.73890244723297e-33,0,0,1.54,down
DIO3OS,2,-1.347,0.11,-12.3,9.59562458878391e-35,4.73890244723297e-33,0,0,0.46,down
CHL1-AS2,2,-1.417,0.115,-12.28,1.15008801594824e-34,5.66787586638578e-33,0,0,0.18,down
FAM84A,3,0.979,0.08,12.28,1.17661464098429e-34,5.78642271655487e-33,54.1,0.009,4.36,up
KYAT1,3,-0.742,0.06,-12.28,1.18585769115667e-34,5.81965255603491e-33,0,0,0.43,down
RP11-618K13.2,2,-1.153,0.094,-12.28,1.23275756513656e-34,6.03715938123047e-33,0,0,0.43,down
FBP1,2,-1.601,0.131,-12.27,1.34115367614984e-34,6.55429361273309e-33,0,0,0.89,down
TLE1P1,3,-0.689,0.056,-12.27,1.372316111204e-34,6.69261413482802e-33,0,0,1.72,down
TSC22D3,3,-1.101,0.09,-12.26,1.49994567354967e-34,7.29983955761419e-33,30.7,0.008,2.89,down
SMC2,3,0.545,0.045,12.24,1.81507774735348e-34,8.81517738336052e-33,0,0,1.54,up
VRK1,3,0.625,0.051,12.23,2.09230369142002e-34,1.0140525282081e-32,22.5,0.0019,2.58,up
FABP5,3,3.385,0.277,12.22,2.50893645956116e-34,1.21346474342701e-32,82.3,0.1462,11.33,up
SERINC3,3,-0.285,0.023,-12.2,2.99077452120247e-34,1.44352661374904e-32,0,0,1.63,down
MIPOL1,3,-0.636,0.052,-12.2,3.25285309045545e-34,1.56679090523604e-32,0,0,0.87,down
RAB25,3,0.821,0.067,12.19,3.45077392263397e-34,1.65870978962913e-32,32.1,0.0044,2.95,up
CTB-92J24.3,2,-1.488,0.122,-12.19,3.67676555849246e-34,1.76371731472848e-32,0,0,0.74,down
PGLYRP2,2,3.129,0.257,12.19,3.6885659973996e-34,1.76575953850976e-32,33.5,0.0575,1.5,up
CBSL,2,-1.187,0.097,-12.18,4.11290974931555e-34,1.96487968003526e-32,0,0,0.01,down
EPHB6,3,-0.733,0.06,-12.16,5.16835879576555e-34,2.46407558146794e-32,0,0,0.21,down
DOK7,2,-2.374,0.195,-12.16,5.30993385516918e-34,2.52642767511495e-32,0,0,0.2,down
LINC01133,3,-0.611,0.05,-12.12,7.94817696282103e-34,3.77401368200157e-32,0,0,1.54,down
STAT1,3,1.862,0.154,12.12,8.01098518127841e-34,3.79613668235924e-32,72.5,0.0423,7.28,up
FILIP1,2,-1.213,0.1,-12.12,8.3566061685104e-34,3.95191502623555e-32,0,0,0.09,down
RP11-321G12.1,2,-1.775,0.147,-12.12,8.5084674138999e-34,4.01561922766094e-32,0,0,0.97,down
CACNG4,2,-1.822,0.15,-12.11,9.40651331734692e-34,4.43052455222885e-32,0,0,0.93,down
PCDHGC5,3,-0.496,0.041,-12.1,1.02007446589267e-33,4.79496449238584e-32,0,0,1.88,down
PCDHGA10,3,-0.44,0.036,-12.09,1.26662001666569e-33,5.94194548499541e-32,0,0,1.99,down
UBE2QL1,2,-1.273,0.105,-12.08,1.41239573825031e-33,6.6125543673403e-32,0,0,0.04,down
