"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
1.84822066078022e-53,1.1043994578209,0.241,0.11,4.46992166809696e-49,"SLC2A3"
4.9746068375932e-53,2.15258056666839,0.129,0.043,1.20310866367192e-48,"CLDN15"
1.23563177623689e-52,0.81898732349572,0.222,0.095,2.98837545082891e-48,"GMFG"
1.03593266900791e-51,1.28093425847113,0.319,0.176,2.50540315999564e-47,"ITGB4"
1.19836200415217e-50,1.31865408087784,0.16,0.06,2.89823850704202e-46,"MEOX2"
1.2724682254991e-50,1.7747957377332,0.157,0.06,3.07746440336958e-46,"NEURL1B"
1.69356361319294e-50,1.66135430788472,0.203,0.09,4.09588359850713e-46,"MAGI1"
4.07939189794256e-50,2.76836932106589,0.126,0.043,9.86600930517408e-46,"C5orf46"
5.68583190714692e-50,-2.08075980865125,0.334,0.485,1.37511844674348e-45,"KRT16"
2.80979569829524e-49,1.60783856366189,0.276,0.15,6.79549089632705e-45,"KCTD12"
4.77195167478805e-49,1.3147892731754,0.256,0.128,1.15409651254749e-44,"CTNNAL1"
6.5797753916484e-49,1.20002557434771,0.332,0.189,1.59131867847017e-44,"MAPK3"
1.14880380478502e-48,-0.966503591154402,0.193,0.38,2.77838200187258e-44,"DSG3"
5.08535955580943e-48,1.71326697456482,0.198,0.088,1.22989420857251e-43,"RALGAPA2"
5.86046738015308e-48,1.58626169923024,0.152,0.059,1.41735403589002e-43,"CST6"
6.21306999605929e-48,1.52177126522642,0.125,0.042,1.50263097854694e-43,"LINC01116"
6.8455381902987e-48,1.43826370513083,0.101,0.03,1.65559341132374e-43,"LYL1"
7.75586995362702e-48,1.08614494039729,0.186,0.078,1.8757571482847e-43,"MYLK"
8.70250336253177e-48,1.0420888040622,0.198,0.087,2.10470043822831e-43,"MBOAT2"
1.09014707391955e-47,1.67560753569005,0.142,0.052,2.63652069827444e-43,"PDK4"
1.20651187449719e-47,1.52840277366896,0.171,0.071,2.91794896847147e-43,"CARD8"
1.53847265053739e-47,-0.789821360500311,0.586,0.756,3.72079610532469e-43,"ANXA1"
1.7460441551823e-47,1.23522481991978,0.293,0.16,4.2228077893084e-43,"TSHZ2"
1.77277269466297e-47,2.3157270177578,0.162,0.067,4.2874507620424e-43,"PYDC1"
6.26718717185814e-47,1.56308497332647,0.299,0.171,1.51571921751389e-42,"HYAL2"
1.20730769911265e-46,1.26271174204285,0.372,0.238,2.91987367030395e-42,"EPAS1"
3.24089914765596e-46,1.81523175189964,0.108,0.034,7.83811458860595e-42,"SEMA6A"
4.28601444777856e-46,-1.06355947175864,0.204,0.379,1.03657259419524e-41,"TENT5A"
1.23528459176609e-45,0.769277962102979,0.262,0.137,2.98753578518628e-41,"IGFBP2"
8.46187823804109e-45,1.3113416820994,0.16,0.065,2.04650525187024e-40,"TMEM204"
1.49898458345366e-44,1.72402861366777,0.249,0.132,3.62529421508267e-40,"MRTFB"
1.88200320385074e-44,-0.711594679800893,0.462,0.61,4.55162474851301e-40,"KLF5"
4.89926088844349e-44,1.59315143372551,0.109,0.036,1.18488624587006e-39,"TSPAN15"
6.60640021410111e-44,1.4740755295964,0.275,0.156,1.59775789178035e-39,"TGFBR2"
8.46694258948832e-44,1.31685789790977,0.204,0.097,2.04773006526775e-39,"KLK7"
9.38132209968425e-44,1.27701889675508,0.152,0.061,2.26887274980864e-39,"ICA1"
1.44551181152943e-43,2.8479764380676,0.114,0.039,3.49597031618391e-39,"KPLCE"
1.4614738151869e-43,-1.00567178428717,0.264,0.423,3.53457442202951e-39,"RAP2B"
3.30715591990466e-43,-0.662650903481015,0.398,0.556,7.99835659228942e-39,"BTG3"
6.0871655851002e-43,1.1755302922151,0.518,0.392,1.47218099675648e-38,"TNFSF10"
7.56985239841414e-43,2.18505542688468,0.198,0.095,1.83076880255646e-38,"CD36"
2.25647886283896e-42,1.3266789887937,0.166,0.071,5.45729412977602e-38,"ACER1"
8.49505832113133e-42,0.873553332024259,0.102,0.033,2.05452985496561e-37,"CLDN11"
